T02,"Population, density and surface area",,,,,
1,"Total, all countries or areas",2017,Population aged 60+ years old (percentage),12.7105,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
1,"Total, all countries or areas",2017,Population density,58.0185,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
1,"Total, all countries or areas",2017,Surface area (thousand km2),136162.0000,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."
1,"Total, all countries or areas",2019,Population mid-year estimates (millions),7713.4681,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
1,"Total, all countries or areas",2019,Population mid-year estimates for males (millions),3889.0346,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
1,"Total, all countries or areas",2019,Population mid-year estimates for females (millions),3824.4336,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
1,"Total, all countries or areas",2019,Sex ratio (males per 100 females),101.6892,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
1,"Total, all countries or areas",2019,Population aged 0 to 14 years old (percentage),25.6082,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
1,"Total, all countries or areas",2019,Population aged 60+ years old (percentage),13.2011,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
1,"Total, all countries or areas",2019,Population density,59.2915,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
2,Africa,2005,Population mid-year estimates (millions),916.1543,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
2,Africa,2005,Population mid-year estimates for males (millions),456.6481,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
2,Africa,2005,Population mid-year estimates for females (millions),459.5062,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
2,Africa,2005,Sex ratio (males per 100 females),99.3780,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
2,Africa,2005,Population aged 0 to 14 years old (percentage),41.8707,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
2,Africa,2005,Population aged 60+ years old (percentage),5.1112,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
2,Africa,2005,Population density,30.9005,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
2,Africa,2010,Population mid-year estimates (millions),1039.3040,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
2,Africa,2010,Population mid-year estimates for males (millions),518.2526,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
2,Africa,2010,Population mid-year estimates for females (millions),521.0514,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
2,Africa,2010,Sex ratio (males per 100 females),99.4629,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
2,Africa,2010,Population aged 0 to 14 years old (percentage),41.4901,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
2,Africa,2010,Population aged 60+ years old (percentage),5.1369,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
2,Africa,2010,Population density,35.0542,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
2,Africa,2017,Population mid-year estimates (millions),1244.2223,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
2,Africa,2017,Population mid-year estimates for males (millions),621.3865,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
2,Africa,2017,Population mid-year estimates for females (millions),622.8357,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
2,Africa,2017,Sex ratio (males per 100 females),99.7673,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
2,Africa,2017,Population aged 0 to 14 years old (percentage),40.9200,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
2,Africa,2017,Population aged 60+ years old (percentage),5.3562,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
2,Africa,2017,Population density,41.9658,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
2,Africa,2017,Surface area (thousand km2),30311.0000,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."
2,Africa,2019,Population mid-year estimates (millions),1308.0642,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
2,Africa,2019,Population mid-year estimates for males (millions),653.5137,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
2,Africa,2019,Population mid-year estimates for females (millions),654.5505,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
2,Africa,2019,Sex ratio (males per 100 females),99.8416,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
2,Africa,2019,Population aged 0 to 14 years old (percentage),40.5557,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
2,Africa,2019,Population aged 60+ years old (percentage),5.4575,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
2,Africa,2019,Population density,44.1191,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
15,Northern Africa,2005,Population mid-year estimates (millions),186.4213,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
15,Northern Africa,2005,Population mid-year estimates for males (millions),93.7026,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
15,Northern Africa,2005,Population mid-year estimates for females (millions),92.7187,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
15,Northern Africa,2005,Sex ratio (males per 100 females),101.0612,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
15,Northern Africa,2005,Population aged 0 to 14 years old (percentage),33.5378,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
15,Northern Africa,2005,Population aged 60+ years old (percentage),7.0095,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
15,Northern Africa,2005,Population density,23.9942,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
15,Northern Africa,2010,Population mid-year estimates (millions),202.9403,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
15,Northern Africa,2010,Population mid-year estimates for males (millions),101.8668,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
15,Northern Africa,2010,Population mid-year estimates for females (millions),101.0734,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
15,Northern Africa,2010,Sex ratio (males per 100 females),100.7850,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
15,Northern Africa,2010,Population aged 0 to 14 years old (percentage),32.1468,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
15,Northern Africa,2010,Population aged 60+ years old (percentage),7.4428,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
15,Northern Africa,2010,Population density,26.1203,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
15,Northern Africa,2017,Population mid-year estimates (millions),232.7932,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
15,Northern Africa,2017,Population mid-year estimates for males (millions),116.9512,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
15,Northern Africa,2017,Population mid-year estimates for females (millions),115.8420,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
15,Northern Africa,2017,Sex ratio (males per 100 females),100.9575,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
15,Northern Africa,2017,Population aged 0 to 14 years old (percentage),32.6786,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
15,Northern Africa,2017,Population aged 60+ years old (percentage),8.3118,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
15,Northern Africa,2017,Population density,29.9627,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
15,Northern Africa,2017,Surface area (thousand km2),7880.0000,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."
15,Northern Africa,2019,Population mid-year estimates (millions),241.7808,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
15,Northern Africa,2019,Population mid-year estimates for males (millions),121.4786,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
15,Northern Africa,2019,Population mid-year estimates for females (millions),120.3021,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
15,Northern Africa,2019,Sex ratio (males per 100 females),100.9780,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
15,Northern Africa,2019,Population aged 0 to 14 years old (percentage),32.6918,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
15,Northern Africa,2019,Population aged 60+ years old (percentage),8.6463,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
15,Northern Africa,2019,Population density,31.1195,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
202,Sub-Saharan Africa,2005,Population mid-year estimates (millions),729.7330,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
202,Sub-Saharan Africa,2005,Population mid-year estimates for males (millions),362.9455,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
202,Sub-Saharan Africa,2005,Population mid-year estimates for females (millions),366.7875,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
202,Sub-Saharan Africa,2005,Sex ratio (males per 100 females),98.9525,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
202,Sub-Saharan Africa,2005,Population aged 0 to 14 years old (percentage),43.9995,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
202,Sub-Saharan Africa,2005,Population aged 60+ years old (percentage),4.6263,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
202,Sub-Saharan Africa,2005,Population density,33.3531,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
202,Sub-Saharan Africa,2010,Population mid-year estimates (millions),836.3638,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
202,Sub-Saharan Africa,2010,Population mid-year estimates for males (millions),416.3858,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
202,Sub-Saharan Africa,2010,Population mid-year estimates for females (millions),419.9780,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
202,Sub-Saharan Africa,2010,Sex ratio (males per 100 females),99.1447,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
202,Sub-Saharan Africa,2010,Population aged 0 to 14 years old (percentage),43.7572,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
202,Sub-Saharan Africa,2010,Population aged 60+ years old (percentage),4.5774,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
202,Sub-Saharan Africa,2010,Population density,38.2267,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
202,Sub-Saharan Africa,2017,Population mid-year estimates (millions),1011.4291,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
202,Sub-Saharan Africa,2017,Population mid-year estimates for males (millions),504.4354,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
202,Sub-Saharan Africa,2017,Population mid-year estimates for females (millions),506.9937,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
202,Sub-Saharan Africa,2017,Sex ratio (males per 100 females),99.4954,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
202,Sub-Saharan Africa,2017,Population aged 0 to 14 years old (percentage),42.8168,Including East Jerusalem.,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
202,Sub-Saharan Africa,2017,Population aged 60+ years old (percentage),4.6759,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
202,Sub-Saharan Africa,2017,Population density,46.2282,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
202,Sub-Saharan Africa,2017,Surface area (thousand km2),22431.0000,Calculated by the UN Statistics Division.,"United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."
202,Sub-Saharan Africa,2019,Population mid-year estimates (millions),1066.2834,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
202,Sub-Saharan Africa,2019,Population mid-year estimates for males (millions),532.0350,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
202,Sub-Saharan Africa,2019,Population mid-year estimates for females (millions),534.2484,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
202,Sub-Saharan Africa,2019,Sex ratio (males per 100 females),99.5857,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
202,Sub-Saharan Africa,2019,Population aged 0 to 14 years old (percentage),42.3389,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
202,Sub-Saharan Africa,2019,Population aged 60+ years old (percentage),4.7344,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
202,Sub-Saharan Africa,2019,Population density,48.7354,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
14,Eastern Africa,2005,Population mid-year estimates (millions),295.1854,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
14,Eastern Africa,2005,Population mid-year estimates for males (millions),146.0404,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
14,Eastern Africa,2005,Population mid-year estimates for females (millions),149.1450,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
14,Eastern Africa,2005,Sex ratio (males per 100 females),97.9184,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
14,Eastern Africa,2005,Population aged 0 to 14 years old (percentage),45.4851,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
14,Eastern Africa,2005,Population aged 60+ years old (percentage),4.2672,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
14,Eastern Africa,2005,Population density,44.2723,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
14,Eastern Africa,2010,Population mid-year estimates (millions),339.3178,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
14,Eastern Africa,2010,Population mid-year estimates for males (millions),167.9658,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
14,Eastern Africa,2010,Population mid-year estimates for females (millions),171.3520,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
14,Eastern Africa,2010,Sex ratio (males per 100 females),98.0238,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
14,Eastern Africa,2010,Population aged 0 to 14 years old (percentage),44.8877,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
14,Eastern Africa,2010,Population aged 60+ years old (percentage),4.2758,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
14,Eastern Africa,2010,Population density,50.8914,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
14,Eastern Africa,2017,Population mid-year estimates (millions),411.3967,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
14,Eastern Africa,2017,Population mid-year estimates for males (millions),204.0091,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
14,Eastern Africa,2017,Population mid-year estimates for females (millions),207.3876,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
14,Eastern Africa,2017,Sex ratio (males per 100 females),98.3709,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
14,Eastern Africa,2017,Population aged 0 to 14 years old (percentage),42.9062,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
14,Eastern Africa,2017,Population aged 60+ years old (percentage),4.4561,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2015 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed June 2019."
14,Eastern Africa,2017,Population density,61.7019,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
14,Eastern Africa,2017,Surface area (thousand km2),7005.0000,,"United Nations Statistics Division, New York, ""Demographic Yearbook 2015"" and the demographic statistics database, last accessed June 2017."
14,Eastern Africa,2019,Population mid-year estimates (millions),433.9049,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
14,Eastern Africa,2019,Population mid-year estimates for males (millions),215.2838,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
14,Eastern Africa,2019,Population mid-year estimates for females (millions),218.6212,,"United Nations Population Division, New York, World Population Prospects: The 2019 Revision, last accessed June 2019."
